Feature,Importance
TUITIONFEE_OUT,0.592214621997242
UGDS_ASIAN,0.10448877789297646
AVGFACSAL,0.05238366911232557
C150_4,0.03321652981839804
TUITIONFEE_IN,0.028970753550500283
SELECTIVITY_X_COMPLETION,0.02417986752150711
UGDS_BLACK,0.02237864745695013
PCTPELL,0.020908526597341517
INEXPFTE,0.017253466105229095
RESOURCES_PER_PELL,0.013411607168876415
RET_FT4,0.012758841798038312
UGDS_HISP,0.01087966379192865
SAT_SQUARED,0.01046147703028586
SAT_AVG,0.010191409183176325
UGDS_WHITE,0.008983494756541643
ADM_RATE_SQUARED,0.0070905961851982936
REGION,0.006818844036632364
ADM_RATE,0.006439514505638976
SELECTIVITY_X_RESOURCES,0.004733588816139898
LOCALE,0.0036706105289950773
ACTCMMID,0.0036636233724596447
SELECTIVITY_EFFICIENCY,0.0033524059226873394
IS_URBAN,0.000750342014697448
IS_ELITE,0.0004971632400822282
CIPCODE,0.00030195759615128523
IS_PUBLIC,0.0
IS_PRIVATE_NONPROFIT,0.0
