Feature,Coefficient
AVGFACSAL,4996.370903723351
TUITIONFEE_IN,3773.4645230919673
RESOURCES_PER_PELL,3356.756047776131
UGDS_ASIAN,2052.5049428761695
SELECTIVITY_EFFICIENCY,-1749.6908420641316
TUITIONFEE_OUT,1587.6889144303389
REGION,-1147.9436372362716
UGDS_BLACK,-861.2039356664236
PCTPELL,-737.4942037539108
LOCALE,607.4514285607779
ADM_RATE,-555.4176818101288
IS_ELITE,442.67107990130125
CIPCODE,332.9045047822626
UGDS_WHITE,260.78971256391037
RET_FT4,171.61663883300136
C150_4,159.50868795592717
