Feature,Coefficient,Abs_Coefficient
SAT_SQUARED,-12716.54154438663,12716.54154438663
SAT_AVG,12221.252045560794,12221.252045560794
AVGFACSAL,4611.160189393297,4611.160189393297
TUITIONFEE_IN,4201.286196157482,4201.286196157482
UGDS_ASIAN,4126.467285191449,4126.467285191449
UGDS_WHITE,3787.365856126143,3787.365856126143
RESOURCES_PER_PELL,3463.091605119642,3463.091605119642
ADM_RATE,-3411.887793742614,3411.887793742614
UGDS_HISP,2681.5912194467332,2681.5912194467332
SELECTIVITY_EFFICIENCY,-2228.6271786693046,2228.6271786693046
ADM_RATE_SQUARED,1945.273617927596,1945.273617927596
TUITIONFEE_OUT,1530.1641076838023,1530.1641076838023
IS_ELITE,1329.1745684803561,1329.1745684803561
REGION,-1329.0845572242094,1329.0845572242094
LOCALE,1188.5484948696771,1188.5484948696771
SELECTIVITY_X_COMPLETION,-1158.2926525453597,1158.2926525453597
UGDS_BLACK,1154.8647468604865,1154.8647468604865
PCTPELL,-1126.7735215102637,1126.7735215102637
SELECTIVITY_X_RESOURCES,801.8303353926457,801.8303353926457
IS_URBAN,551.8963998756412,551.8963998756412
CIPCODE,443.7881520545741,443.7881520545741
RET_FT4,173.63670636704074,173.63670636704074
ACTCMMID,-81.82523722419842,81.82523722419842
C150_4,48.914056399925514,48.914056399925514
INEXPFTE,-7.436626005814321,7.436626005814321
IS_PRIVATE_NONPROFIT,-9.549694368615746e-12,9.549694368615746e-12
IS_PUBLIC,0.0,0.0
